Data,Vendedor,Cliente,Região,Produto,Valor
43617,João,Lara Aziz,Sudeste,VBA,600
43617,Marcus,Rhanna Ladogano,Centro-Oeste,Python,450
43618,Gabriel,Zilma Bailly,Centro-Oeste,Python,450
43619,Gabriel,Francyne Cavalca,Norte,VBA,600
43619,Diego,Fabiane Portillo,Norte,Power BI,300
43619,João,Alexandra Mollica,Sudeste,VBA,600
43619,Diego,Fellipe Cavalca,Sudeste,Power BI,300
43620,Diego,Carlos Roberto,Centro-Oeste,Power BI,300
43621,Alon,Leticia Yang,Centro-Oeste,VBA,600
43621,Alon,Julio Fioretti,Sudeste,VBA,600
43622,Marcus,Teresa Alves,Sudeste,Excel,500
43622,Diego,Michele Nogueira,Sul,Power BI,300
43622,Diego,Norman Carrera,Sul,Python,450
43622,Alon,Katarine Ferrer,Centro-Oeste,VBA,600
43622,Marcus,Jackson Caldas,Sudeste,Excel,500
43622,João,Marília Vilhena,Sudeste,Excel,500
43623,Paulo,Roger Salomão,Sudeste,VBA,600
43623,Diego,Bárbara Brendalina,Sul,Power BI,300
43623,Diego,Barbara Barreto,Nordeste,Python,450
43623,Gabriel,Marcela Fernando,Nordeste,Excel,500
43624,Gabriel,Barbara Emmerick,Nordeste,Python,450
43624,Paulo,Marisol Carrera,Centro-Oeste,Excel,500
43624,Diego,Isabelle Espíndola,Norte,VBA,600
43624,Alon,Tiago Victor,Nordeste,VBA,600
43625,Alon,Jonas Marino,Sudeste,VBA,600
43625,Marcus,Marcela Paes,Centro-Oeste,Power BI,300
43625,Diego,Emanuella Henriques,Nordeste,Python,450
43626,João,Thaisa Rangel,Norte,Power BI,300
43626,Marcus,Rilson Sena,Sul,Python,450
43626,João,Etiene Bittencourt,Centro-Oeste,Python,450
43627,Paulo,Gizele Erthal,Centro-Oeste,Python,450
43627,Paulo,Raíza Baptista,Sudeste,VBA,600
43628,Diego,Rodney Mateus,Sudeste,Python,450
43628,Alon,Jose Bakman,Norte,Python,450
43628,Marcus,Tainah Hermano,Centro-Oeste,Power BI,300
43628,Paulo,Natália Barrionuevo,Sul,Python,450
43628,Marcus,Samir Monte,Sudeste,Power BI,300
43629,Marcus,Joel Kohn,Centro-Oeste,Power BI,300
43629,João,Renan Caffaro,Centro-Oeste,Python,450
43629,Marcus,Yasmini Andrade,Sul,Power BI,300
43629,Paulo,Wesley Silvalmas,Norte,Excel,500
43630,Marcus,John Monteiro,Norte,Power BI,300
43631,Marcus,Anderson Moulin,Centro-Oeste,Power BI,300
43631,Gabriel,Aledio Mercês,Nordeste,Python,450
43631,Paulo,Alexandra Gabriel,Nordeste,Excel,500
43631,Marcus,Cleberson Bogossian,Sudeste,Power BI,300
43632,Gabriel,Caroll Varanda,Centro-Oeste,Python,450
43632,Alon,Livia Fioretti,Nordeste,Python,450
43632,Alon,Vitória Bruna,Nordeste,Excel,500
43632,Marcus,Walter Rebelo,Centro-Oeste,Power BI,300
43632,Marcus,Raul Filiphe,Sul,Power BI,300
43633,Marcus,Philipe Pinto,Nordeste,Power BI,300
43633,Alon,Cleo Hermano,Nordeste,Python,450
43633,Paulo,Norbertho Heleno,Nordeste,Power BI,300
43634,Gabriel,Joel Portella,Sul,Python,450
43634,Diego,Caroline Akerman,Sudeste,VBA,600
43634,Alon,Cassio Roberto,Sudeste,Power BI,300
43635,Marcus,Lázaro Sofia,Sudeste,Excel,500
43635,Paulo,Saranna Cassabian,Norte,Excel,500
43635,Alon,Yasser Guedes,Norte,Excel,500
43635,Diego,Yohanan Tkotz,Nordeste,Power BI,300
43635,Marcus,Raiane Rubio,Sul,Python,450
43636,Alon,Natali Fasano,Sul,Power BI,300
43637,Marcus,Talissa Yang,Sul,Python,450
43637,Diego,Joao Bretas,Sudeste,VBA,600
43638,Paulo,Emilaine Torres,Sul,Python,450
43638,Alon,Nathália Espinosa,Sudeste,VBA,600
43638,Diego,Jamile Campelo,Norte,Excel,500
43639,Gabriel,Monique Lucas,Sudeste,Python,450
43639,Marcus,Murillo César,Norte,VBA,600
43639,Diego,Tatiana Tkotz,Norte,Excel,500
43640,Alon,Renan Fioravante,Norte,Python,450
43640,Diego,Eliane Silva,Nordeste,Python,450
43640,João,Rodney Flávia,Nordeste,Python,450
43640,João,Tayla Rosario,Norte,VBA,600
43640,Marcus,Soraia Titonelli,Sudeste,Python,450
43640,Diego,Jayme Botelho,Sudeste,Python,450
43641,Paulo,Aledio Essaber,Nordeste,Power BI,300
43642,Alon,Jéssica Faria,Norte,Power BI,300
43642,João,Natali Jalles,Centro-Oeste,Python,450
43642,Marcus,Sandy Ferreirinha,Nordeste,Excel,500
43643,Diego,Helga Rosales,Sul,Excel,500
43643,Paulo,Stephane Bizzo,Sudeste,Excel,500
43643,Paulo,Wesley Mattos,Nordeste,Excel,500
43644,Marcus,José Brandão,Nordeste,Excel,500
43644,Alon,Giovani Malher,Sudeste,Python,450
43644,Marcus,Willian Neviani,Sul,Excel,500
43644,Marcus,Fabricio Messias,Norte,Python,450
43644,Alon,Tatiane Palhota,Nordeste,Power BI,300
43645,Gabriel,Rayane Portillo,Norte,VBA,600
43645,Gabriel,Thaisa Rubinstein,Nordeste,Power BI,300
43645,João,Fillipe Freitas,Centro-Oeste,VBA,600
43646,Marcus,Dayane Flávia,Sul,Power BI,300
43646,Marcus,Edson Rubin,Sudeste,VBA,600
43646,Marcus,Larissa Póvoa,Sudeste,VBA,600
43646,João,Roberta Brandão,Sul,Power BI,300
43647,Marcus,Lívia Colacino,Sudeste,VBA,600
43647,Alon,Raiam Domingues,Sul,Power BI,300
43647,Marcus,Yasser Nogueira,Nordeste,Power BI,300
43647,Diego,Khaio Garambone,Nordeste,Excel,500
43647,Alon,Luísa Yosef,Nordeste,Power BI,300
43648,João,Wesley Cavadas,Norte,Excel,500
43648,Marcus,Raul Beatriz,Nordeste,Power BI,300
43648,Alon,Eduardo Chagas,Sul,Power BI,300
43649,Marcus,José Barroso,Centro-Oeste,VBA,600
43649,Diego,Giovanna Miura,Sudeste,Power BI,300
43649,Marcus,Jefferson Azeredo,Norte,VBA,600
43649,João,Fellipe Barboza,Norte,Python,450
43649,Marcus,Thaís Corrêa,Sudeste,VBA,600
43650,Marcus,Sandro Praxedes,Sudeste,Word,600
43650,Marcus,Helena Ricardo,Centro-Oeste,Word,600
43651,Gabriel,Luiz Costa,Sul,Word,600
43651,Alon,Alan Stellet,Sudeste,Word,600
43651,Alon,Átila Fernando,Sul,Python,450
43651,Gabriel,Glaucia Baldanzi,Sul,Word,600
43651,Alon,Adriano Tostes,Sudeste,Python,450
43652,Paulo,Manuela Silva,Sul,Python,450
43652,Gabriel,Marcella Bogossian,Norte,Word,600
43652,Paulo,Cynthia Dória,Sudeste,Word,500
43652,Gabriel,Nathan Moulin,Sudeste,Word,600
43653,João,Rojane Mello,Sul,Python,450
43653,João,Yasmin Salomao,Sul,Python,450
43653,Gabriel,Stephane Duque,Sudeste,Word,600
43654,Gabriel,Willian Messias,Nordeste,Word,500
43654,Diego,Giuseppe Barreto,Norte,Power BI,300
43655,Gabriel,Isaac Stockler,Sudeste,Word,600
43655,Gabriel,Andreia Tribuzy,Sudeste,Word,600
43655,Diego,Sara Bizzo,Centro-Oeste,Power BI,300
43655,Paulo,Iuri Tkotz,Norte,Python,450
43655,Marcus,Marcus Luis,Norte,Python,450
43655,Diego,Valmir Essaber,Sul,Power BI,300
43656,Marcus,Alexandre Paulino,Nordeste,Python,450
43656,Gabriel,Valentina Greici,Sudeste,Word,600
43656,Diego,Heitor Morgado,Norte,PowerPoint,300
43656,Alon,Filipe Abramovitz,Nordeste,Word,500
43656,Diego,Jennifer Spata,Sul,Power BI,300
43657,Marcus,Walmyr Carmo,Sudeste,Word,500
43657,Diego,Ariel Morais,Sudeste,Power BI,300
43657,João,Victor Cezar,Centro-Oeste,Word,500
43657,Diego,Maria Fuchs,Sudeste,Word,500
43658,Marcus,Brenno Novarino,Norte,Power BI,300
43658,Marcus,Adriane Cassabian,Centro-Oeste,Word,600
43658,Paulo,Sara Valle,Sudeste,Python,450
43659,Paulo,Cesar Rossi,Norte,Word,500
43659,João,Elisa Pedro,Sul,Word,500
43659,Diego,Leandro Halinck,Nordeste,Word,500
43660,Paulo,Marcus Farah,Norte,Python,450
43660,Diego,Edson Thamires,Norte,Word,500
43661,Gabriel,Thaisa Flavio,Sudeste,Word,500
43661,Alon,Letícia Temporal,Sudeste,Excel,500
43661,Marcus,Katarine Lucas,Norte,Python,450
43662,Gabriel,Zilma Huon,Sudeste,VBA,600
43662,Alon,Mateus Bogossian,Centro-Oeste,Power BI,300
43663,João,Filippo Mercês,Sudeste,Power BI,300
43663,Gabriel,Kassia Paes,Norte,Power BI,300
43663,Paulo,Bárbara Medeiros,Norte,Power BI,300
43663,João,Daniele Areias,Norte,VBA,600
43663,Paulo,Cícero Milani,Sudeste,Excel,500
43664,Paulo,Walter Stellet,Norte,Power BI,300
43665,Marcus,Mateus Barcelos,Sul,Power BI,300
43665,Paulo,Sandro Santana,Norte,Python,450
43665,Paulo,Mariana Boaventura,Sudeste,Excel,500
43667,Alon,Wen Yen,Sul,VBA,600
43667,Gabriel,Antônio Fogacia,Nordeste,Python,450
43667,Marcus,Marina Yang,Centro-Oeste,Python,450
43667,Paulo,Kallena Novaes,Centro-Oeste,Python,450
43667,Paulo,Ana Bento,Sudeste,Excel,500
43667,João,Caroline Navega,Sudeste,Python,450
43668,Gabriel,Edgard Monteiro,Nordeste,Python,450
43668,Alon,Cassandra Yehudah,Norte,Power BI,300
43668,Gabriel,Ravena Coelli,Sul,Power BI,300
43668,Gabriel,Vicente Batista,Sudeste,Excel,500
43668,Diego,Arnôr Castro,Norte,VBA,600
43668,Paulo,Antonio Bitencourt,Sudeste,Excel,500
43670,Alon,Marisol Lencastre,Norte,VBA,600
43670,Marcus,Guilherme Stellet,Sudeste,VBA,600
43670,Gabriel,Lucas Batista,Sudeste,Excel,500
43671,Marcus,Karine Coimbra,Sul,Power BI,300
43672,Diego,Victória Almeida,Norte,Python,450
43672,Marcus,Hugo Miranda,Sul,Power BI,300
43672,Diego,Jeronimo Maia,Sul,VBA,600
43672,Alon,Ramon Monte,Sul,Python,450
43673,Alon,Rebecca Renato,Norte,Python,450
43673,Marcus,Verônica Totti,Centro-Oeste,Power BI,300
43674,Alon,Edjailma Victório,Nordeste,Power BI,300
43674,Paulo,Leonardo Scaldini,Nordeste,Python,450
43674,Alon,Viviane Provenzano,Centro-Oeste,VBA,600
43674,Alon,Geam Bizzo,Norte,Excel,500
43675,Diego,Thiago Guimarães,Nordeste,Python,450
43675,Marcus,Arnôr Magalhaes,Norte,Excel,500
43675,Alon,Alex Furtado,Centro-Oeste,Power BI,300
43676,Marcus,Cleberson Kohn,Sudeste,VBA,600
43676,Gabriel,Jeronimo Caldas,Sul,Power BI,300
43676,Alon,Alessandra Gonzalez,Norte,VBA,600
43677,Diego,Sandy Correa,Norte,Excel,500
43678,Marcus,Giuseppe Felix,Norte,Excel,500
43678,Gabriel,Eduardo Corrêa,Sudeste,Python,450
43678,Marcus,Leandro Paulo,Sudeste,VBA,600
43679,Marcus,Jeferson Infante,Norte,Python,450
43679,Paulo,Amanda Costalforne,Norte,Python,450
43679,Paulo,Thomaz Provenzano,Nordeste,Python,450
43679,Diego,Maurício Eduarda,Sudeste,Excel,500
43680,João,Giovanna Monteiro,Sudeste,Python,450
43680,Paulo,Thayná Luisa,Norte,Python,450
43680,Diego,Letícia Taylor,Sudeste,Python,450
43680,Marcus,Yohanan Fioretti,Norte,VBA,600
43680,Alon,Helga Felix,Sudeste,Excel,500
43681,João,Alexsandro Cristine,Centro-Oeste,VBA,600
43681,Alon,Viviane Paes,Nordeste,Excel,500
43681,Gabriel,Walmyr Gabrielen,Norte,Power BI,300
43681,João,Wen Akerman,Norte,Excel,500
43681,João,Barbara Menezes,Sul,Power BI,300
43681,Alon,Gustavo Marendino,Sul,Python,450
43681,Gabriel,Elena Abranches,Centro-Oeste,Python,450
43682,Paulo,Taila Pinto,Norte,VBA,600
43682,Marcus,Joel Bailly,Norte,Excel,500
43682,Paulo,Anderson Mendes,Centro-Oeste,Python,450
43682,Alon,Ester Perim,Norte,Power BI,300
43682,Paulo,Carla Paulino,Norte,Python,450
43682,Gabriel,Gerald Rossi,Centro-Oeste,Power BI,300
43683,Paulo,Giovanni Halinck,Centro-Oeste,VBA,600
43683,Diego,Paula Li,Nordeste,Power BI,300
43683,Paulo,Clara Lopez,Nordeste,Power BI,300
43684,Diego,Wendela Comas,Sudeste,VBA,600
43684,João,Paula Moraes,Nordeste,Python,450
43684,Alon,Renan Fioravante,Norte,Python,450
43684,Diego,Giuseppe Botelho,Sudeste,Python,450
43684,Diego,Morgana Thamires,Sudeste,Power BI,300
43684,Paulo,Luísa Junqueira,Sul,VBA,600
43685,Alon,Alexandra Fernando,Sul,Python,450
43685,Marcus,Nickole Amorim,Centro-Oeste,Python,450
43685,Marcus,Andréia Bello,Sudeste,PowerPoint,300
43685,João,Rebecca Ognibene,Centro-Oeste,VBA,600
43685,Marcus,Livia Infante,Nordeste,Excel,500
43686,Gabriel,Michel Zickwolf,Centro-Oeste,PowerPoint,300
43686,Diego,Wendel Furtado,Norte,PowerPoint,300
43687,João,Cleberson Rebelo,Norte,PowerPoint,300
43687,Alon,Roberto Yumi,Centro-Oeste,Excel,500
43687,Paulo,Bernard Madrid,Nordeste,VBA,600
43688,João,Kallena Hudson,Norte,Excel,500
43689,Alon,Taís Nemitz,Sul,VBA,600
43689,Diego,Katharina Alana,Nordeste,PowerPoint,450
43690,Gabriel,Rogério Balassiano,Sul,Excel,500
43690,Paulo,Tomas Fontenele,Sudeste,VBA,600
43691,Marcus,Tiago Jardim,Nordeste,PowerPoint,450
43691,Paulo,Jade Comas,Nordeste,PowerPoint,300
43691,Alon,Camille Labanca,Centro-Oeste,PowerPoint,450
43691,João,Marcio Anunciação,Centro-Oeste,VBA,600
43691,Marcus,Katharina Bello,Nordeste,Excel,500
43691,Alon,Emilaine Brendalina,Sudeste,Excel,500
43691,Paulo,Michel Mendonça,Sudeste,PowerPoint,300
43692,Marcus,Daniella Furtado,Norte,PowerPoint,450
43692,Diego,Ananda Varella,Norte,PowerPoint,450
43692,Diego,Sandro Valladares,Nordeste,Python,450
43692,Paulo,Thalita Brandão,Norte,PowerPoint,300
43693,Alon,Constantino Godinho,Norte,VBA,600
43693,Gabriel,Karine Halinck,Sudeste,Excel,500
43693,Diego,Laiza Sara,Sudeste,VBA,600
43694,Gabriel,Natalia Jalles,Nordeste,PowerPoint,450
43695,Gabriel,Dilson Baldanzi,Centro-Oeste,PowerPoint,300
43695,João,Débora Carvalho,Nordeste,VBA,600
43695,Paulo,Giselia Netto,Norte,Excel,500
43695,Alon,Hércules Carneiro,Sul,PowerPoint,450
43696,Diego,Carlos Figueiredo,Norte,PowerPoint,450
43696,João,Thamiris Moutinho,Nordeste,Excel,500
43696,Diego,Vívian La,Norte,PowerPoint,300
43696,Gabriel,Gisely Tostes,Centro-Oeste,PowerPoint,450
43697,Diego,Jose Helena,Nordeste,PowerPoint,300
43697,João,Raiza Fecha,Centro-Oeste,PowerPoint,450
43698,Paulo,Reila Souza,Norte,PowerPoint,300
43698,João,Willian Jiun,Centro-Oeste,VBA,600
43698,Alon,Yuri Hudson,Nordeste,PowerPoint,300
43698,Gabriel,Adrizia Pacheco,Norte,VBA,600
43699,Diego,Marcela Fracalossi,Centro-Oeste,PowerPoint,300
43699,João,Marcella César,Nordeste,PowerPoint,450
43699,Alon,Júlia Fogacia,Centro-Oeste,PowerPoint,450
43700,Alon,Elaine Erthal,Centro-Oeste,PowerPoint,450
43700,Paulo,Hiaiune Russo,Centro-Oeste,PowerPoint,450
43701,Gabriel,Denilton Jorge,Centro-Oeste,VBA,600
43701,Diego,Álvaro Alvim,Norte,PowerPoint,300
43702,Diego,Maurício Ricardo,Nordeste,PowerPoint,450
43702,Gabriel,Denilton Stockler,Norte,PowerPoint,300
43702,Diego,Jayme Caldas,Nordeste,Power BI,300
43703,Gabriel,Alexandra Caroline,Sul,VBA,600
43703,Diego,Amanda Balassiano,Centro-Oeste,Power BI,300
43704,Alon,León Suzano,Sudeste,Python,450
43704,Alon,jucelia Ambrosio,Centro-Oeste,Power BI,300
43704,Gabriel,Isabella Penna,Sudeste,VBA,600
43705,Paulo,Marcus Aya,Centro-Oeste,Power BI,300
43705,Gabriel,Giovana Rubim,Sul,VBA,600
43705,Gabriel,Beatriz Freire,Centro-Oeste,Power BI,300
43705,Paulo,Fellipe Frederico,Sudeste,Excel,500
43706,Diego,Thayna Azeredo,Centro-Oeste,Power BI,300
43706,Marcus,Yasser Brasil,Sudeste,VBA,600
43706,Marcus,Ludmila Amaral,Norte,Excel,500
43706,Alon,Hygor Queiroz,Centro-Oeste,Power BI,300
43706,João,León Labanca,Sudeste,Python,450
43706,Marcus,Cynthia Heleno,Sudeste,VBA,600
43707,Marcus,Gustavo Alvarenga,Sudeste,VBA,600
43707,Diego,Andreza Mesquita,Nordeste,Excel,500
43707,Alon,Eriko Sara,Centro-Oeste,Power BI,300
43707,Alon,Hiago Costa,Sudeste,Power BI,300
43708,João,Rebeca Magalhaes,Sul,VBA,600
43708,Alon,Kallena Garambone,Nordeste,Excel,500
43708,Alon,Suellen Baltar,Nordeste,VBA,600
43708,Alon,Giselia Rotava,Centro-Oeste,Python,450
43709,Marcus,Alexsandro Scalercio,Sudeste,VBA,600
43709,João,Joao Yen,Sul,Excel,500
43709,Alon,Dykson Arslanian,Sudeste,Excel,500
43709,Alon,Alfredo Rivero,Sudeste,VBA,600
43709,Marcus,Denilton Mateus,Sul,Power BI,300
43709,Gabriel,Leonardo Marcio,Nordeste,Excel,500
43709,Marcus,Izabella Salomao,Nordeste,VBA,600
43709,Gabriel,Alfredo Junqueira,Centro-Oeste,Power BI,300
43711,Gabriel,Kim Siqueira,Norte,VBA,600
43711,Gabriel,Helena Ladogano,Centro-Oeste,Power BI,300
43711,João,Ylana Navega,Nordeste,Power BI,300
43712,João,Brenno José,Sudeste,VBA,600
43712,Gabriel,Ighor Catarino,Sul,Power BI,300
43712,Paulo,Maciela Piero,Norte,Excel,500
43712,Paulo,Walmyr Faria,Sul,VBA,600
43712,Gabriel,Jeferson Ban,Norte,Excel,500
43713,Marcus,Thadeu Palhota,Nordeste,Power BI,300
43713,Diego,Platini Raggi,Sudeste,Excel,500
43713,Diego,Wesley Yehudah,Norte,Excel,500
43713,Gabriel,Ully Figueiredo,Nordeste,Python,450
43714,Diego,Nathalya Salomao,Sudeste,VBA,600
43714,Diego,Átila Vinicius,Centro-Oeste,Python,450
43714,Gabriel,Iago Yumi,Centro-Oeste,Python,450
43714,Diego,Yasmini Madeira,Nordeste,VBA,600
43714,Gabriel,Jeter Cabral,Centro-Oeste,Power BI,300
43715,Diego,Michelle Aballo,Centro-Oeste,Excel,500
43715,Gabriel,Elida Miehrig,Sudeste,VBA,600
43715,João,Tadeu Bizzo,Norte,Python,450
43718,João,Marcos Queiroz,Norte,Power BI,300
43718,Marcus,Melissa Azeredo,Sul,VBA,600
43718,João,Tiago Costainara,Nordeste,Excel,500
43718,Marcus,Valéria Amorim,Sudeste,VBA,600
43718,Paulo,Lucca Monteiro,Sudeste,Excel,500
43719,Gabriel,Paloma Fróes,Norte,Python,450
43719,João,Ludmila Flávia,Norte,Power BI,300
43720,Marcus,Thaiz Gouvêa,Nordeste,VBA,600
43720,Gabriel,Millena Borowicz,Norte,Excel,500
43720,Alon,Thomas Catarino,Nordeste,Python,450
43721,Diego,Rachel Rabelo,Nordeste,Power BI,300
43721,Marcus,Natália Infante,Norte,VBA,600
43721,Marcus,Thaiz Fonseca,Sudeste,Power BI,300
43721,Paulo,Julliana Pinheiro,Norte,Python,450
43721,Diego,Nuno Centurione,Centro-Oeste,Power BI,300
43721,Paulo,Yuske Chagas,Centro-Oeste,Power BI,300
43721,Gabriel,Mauricio Lopes,Centro-Oeste,Python,450
43722,Marcus,Cleberson José,Norte,Python,450
43722,Marcus,Ângelo Lana,Sudeste,VBA,600
43722,Alon,César Maia,Sudeste,VBA,600
43722,Diego,Joel Farah,Sul,VBA,600
43723,Diego,Paola Cossich,Nordeste,VBA,600
43723,Gabriel,Camilla Ferrer,Sudeste,VBA,600
43724,Gabriel,Lorena Sena,Norte,VBA,600
43724,João,Audir Madruga,Centro-Oeste,Power BI,300
43724,João,Breno Akerman,Sul,Python,450
43724,João,Evelyn Penna,Norte,Power BI,300
43724,Marcus,Tomas Heleno,Sudeste,Python,450
43725,Gabriel,Gisely Maciel,Sul,Power BI,300
43726,Gabriel,Paulo Gabrielle,Nordeste,VBA,600
43726,João,Luã Fioretti,Sudeste,Excel,500
43726,Alon,Giuseppe Jiun,Sudeste,VBA,600
43726,Paulo,Cleberson Tavares,Norte,Power BI,300
43727,Marcus,Edjailma Silvalmas,Sudeste,Python,450
43727,Marcus,Luciana Freire,Centro-Oeste,Excel,500
43727,Gabriel,Raísa Alana,Nordeste,Excel,500
43727,João,Aledio Guimarães,Sudeste,VBA,600
43728,Gabriel,Jeronimo Espinosa,Norte,VBA,600
43728,Diego,Raissa Chagas,Nordeste,Excel,500
43728,Diego,Bianca Coutinho,Centro-Oeste,Python,450
43728,Gabriel,Renan Domingues,Nordeste,VBA,600
43728,Alon,Graziela Rodrigo,Sul,Power BI,300
43728,Diego,Naiara Madeira,Centro-Oeste,VBA,600
43728,Alon,Eriko Tribuzy,Sudeste,PowerPoint,500
43729,Diego,Lívia Nogueira,Norte,Excel,500
43729,Marcus,Higor Li,Sudeste,Excel,500
43730,Paulo,Débora Bachini,Norte,VBA,600
43731,Marcus,Beatriz Cabral,Sudeste,VBA,600
43731,Alon,Yohana Bachini,Centro-Oeste,Power BI,300
43731,João,Rafaela Reis,Centro-Oeste,Power BI,300
43731,Gabriel,Verônica Silvestre,Sul,Power BI,300
43731,Marcus,Ysabella Smolarek,Sudeste,VBA,600
43731,Marcus,Enrique Sofia,Nordeste,PowerPoint,600
43733,Paulo,Hugo Catarino,Norte,PowerPoint,300
43733,Marcus,Marianna Coelli,Sul,PowerPoint,600
43733,Alon,Ully Penna,Nordeste,PowerPoint,300
43733,Marcus,Bernardo Aguiar,Nordeste,PowerPoint,450
43733,Paulo,Cláudio Baptista,Norte,PowerPoint,500
43733,Gabriel,Thayli Viana,Sudeste,PowerPoint,300
43733,Marcus,Tomas Renato,Sudeste,PowerPoint,600
43734,Alon,Marcio Cravo,Norte,PowerPoint,450
43734,Marcus,Érico Jiun,Sul,PowerPoint,300
43734,Paulo,Silvio Orind,Centro-Oeste,PowerPoint,450
43734,Marcus,Leila Pedrazza,Centro-Oeste,Python,450
43734,Alon,Thais Menezes,Norte,Python,450
43735,Marcus,Daniele Fontenelle,Sudeste,VBA,600
43735,Diego,Agnes Tiradentes,Norte,Excel,500
43735,Marcus,Pâmella Arslanian,Norte,VBA,600
43735,Alon,Mayara Yumi,Nordeste,Power BI,300
43735,Alon,Sara Macedo,Sudeste,VBA,600
43735,Diego,Giovani Cozendey,Sudeste,PowerPoint,600
43735,Alon,Nickole Russo,Sul,PowerPoint,500
43735,Diego,Isabelle Batista,Sul,PowerPoint,450
43736,Marcus,Thomaz Ricardo,Sudeste,PowerPoint,600
43736,Diego,Nathália Jobim,Sudeste,PowerPoint,600
43737,Gabriel,Simone Salomao,Centro-Oeste,PowerPoint,450
43737,Alon,Helena Carneiro,Norte,PowerPoint,300
43737,Diego,Victória Osman,Sul,PowerPoint,600
43738,Marcus,David Garambone,Sudeste,PowerPoint,450
43739,Diego,Melissa Rubin,Sudeste,PowerPoint,600
43739,Gabriel,Marianne Vinicius,Sudeste,VBA,600
43739,Alon,Gabrielle Almawi,Norte,Power BI,300
43739,Diego,Jefferson Arantes,Nordeste,VBA,600
43739,Paulo,Tayane Batista,Sudeste,Python,450
43740,Marcus,Katherine Scandiuzzi,Sul,Power BI,300
43740,Paulo,Philipe Kohn,Norte,PowerPoint,600
43740,João,César Chaves,Centro-Oeste,PowerPoint,450
43741,João,Gabriel Ferrer,Sudeste,PowerPoint,600
43741,Marcus,Yasmim Arineli,Centro-Oeste,PowerPoint,450
43741,Gabriel,Thaina Fonseca,Centro-Oeste,PowerPoint,300
43741,Diego,Julianna Amaral,Centro-Oeste,PowerPoint,300
43742,Paulo,Saranna Accardo,Centro-Oeste,PowerPoint,300
43742,Marcus,Letícia Brandão,Sudeste,PowerPoint,500
43743,Gabriel,Thamirez Akerman,Centro-Oeste,PowerPoint,600
43743,Alon,Natali Miranda,Norte,Python,450
43743,Gabriel,Tainá Costainara,Sudeste,VBA,600
43744,Gabriel,Maciela Eduardo,Centro-Oeste,Power BI,300
43744,Diego,Thuany Perim,Sudeste,Python,450
43744,Paulo,Sawlo Brasil,Nordeste,Python,450
43745,João,Luca Rubio,Centro-Oeste,Power BI,300
43745,João,Luís Barrionuevo,Centro-Oeste,Power BI,300
43745,João,Nina Suzano,Sul,Python,450
43746,João,Nicholas Côrte-Real,Sudeste,Excel,500
43746,Alon,Raissa Erthal,Centro-Oeste,Power BI,300
43746,Diego,Lívia Rodrigues,Centro-Oeste,Python,450
43746,Gabriel,Gabriela Totti,Sul,VBA,600
43747,Paulo,Hygor Cardoso,Sudeste,Python,450
43747,Alon,Gabryela Aballo,Sul,Power BI,300
43747,Alon,Nicole Pereira,Sudeste,Power BI,300
43748,Diego,Cleberson Varanda,Centro-Oeste,VBA,600
43748,Paulo,Ylana Itapary,Nordeste,Python,450
43748,Paulo,Verônica Alvarenga,Norte,Excel,500
43748,Gabriel,Diogo Yumi,Sul,Python,450
43748,Marcus,Thamirez Anunciação,Sudeste,VBA,600
43749,João,Jéssica Neviani,Norte,PowerPoint,450
43749,João,Isabela Costalforne,Norte,PowerPoint,300
43749,João,Paula Li,Norte,PowerPoint,450
43749,Gabriel,Vito Batista,Sudeste,VBA,600
43750,Gabriel,Alberto Rozenbaum,Sudeste,PowerPoint,300
43750,Paulo,Andreza Bretas,Norte,PowerPoint,300
43750,Marcus,Mauricio Ventura,Centro-Oeste,PowerPoint,450
43750,Paulo,Vito Zambrotti,Sul,VBA,600
43752,Gabriel,Higor Primo,Nordeste,Excel,500
43752,Paulo,Camilla Vilaça,Sul,PowerPoint,450
43753,João,Izadora Kalaf,Norte,PowerPoint,300
43753,Gabriel,Júlia Chousa,Sudeste,VBA,600
43753,Alon,Ives Arouca,Sudeste,VBA,600
43753,Paulo,Jeferson Villar,Nordeste,VBA,600
43753,Diego,Juliane Grion,Nordeste,Excel,500
43753,Marcus,Rhanna Sodré,Norte,Excel,500
43753,Alon,Giovana Accardo,Sudeste,Power BI,300
43753,Gabriel,Taila Paula,Sul,Power BI,300
43753,Paulo,Camille Sara,Sudeste,VBA,600
43753,Gabriel,Nathália Nacif,Sul,Power BI,300
43754,Gabriel,Chan Mosqueira,Norte,Power BI,300
43754,Paulo,Daiana Akerman,Sudeste,VBA,600
43754,Diego,Breno Orind,Nordeste,VBA,600
43754,Marcus,Marisol Pires,Nordeste,VBA,600
43754,Alon,Liz Reis,Norte,Python,450
43755,João,Michel Júnior,Sul,Python,450
43755,Diego,Adrielle Emmerick,Sudeste,Python,450
43755,Gabriel,Karen Alvarez,Sudeste,Excel,500
43755,João,Kassia Eid,Norte,Power BI,300
43755,João,Juann Antonio,Nordeste,Excel,500
43755,Alon,Yuri Villar,Sudeste,VBA,600
43756,Gabriel,Caroline Moreira,Sudeste,Python,450
43756,Gabriel,Ravena Faria,Nordeste,VBA,600
43756,João,Alessandro Caetano,Nordeste,Excel,500
43756,Diego,Aline Gitirana,Centro-Oeste,Python,450
43757,Alon,Gabrielle Henrique,Sul,Python,450
43757,João,Vívian Galera,Norte,Excel,500
